doing work
  0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -- xxxx xxxx xxxx xxxx
  1 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
  2 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
  3 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
  4 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
  5 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -- 0003 0002 0001 0000
  6 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -- 0003 0002 0001 0000
  7 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -- 0003 0002 0001 0000
  8 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
  9 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
 10 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
 11 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
 12 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
 13 000000000000000000000000000000000000000000000000000000000000000000000000 -- 0003 0002 0001 0000
